Porcentagem de votos por cidade – estado Sergipe,,,,,
Ano,1994,1998,2002,2006,2010
Município,,,,,
AMPARO DE SÃO FRANCISCO,22.77,29.33,30.74,49.25,57.34
AQUIDABÃ,17.24,19.32,27.24,36.51,36.88
ARACAJU,43.12,42.72,51.7,37.49,32.22
ARAUÁ,10.46,11.13,26.76,42.64,50.78
AREIA BRANCA,16.47,15.49,22.32,36.76,37.16
BARRA DOS COQUEIROS,33.44,39.04,46.32,32.1,36.21
BOQUIM,21.5,19.5,44.53,56.59,53.24
BREJO GRANDE,16.03,23.2,35.42,48.25,51.12
CAMPO DO BRITO,11.76,12.73,30.84,45.04,53.63
CANHOBA,25.63,23.88,26.38,47.9,54.52
CANINDÉ DE SÃO FRANCISCO,21.72,18.65,40.49,60.28,62.03
CAPELA,18.79,18.94,25.97,42.78,40.33
CARIRA,20.26,13.25,20.35,30.15,44.7
CARMÓPOLIS,26.85,34.68,43.43,34.75,53.29
CEDRO DE SÃO JOÃO,27.08,25.18,33.69,48.33,50.5
CRISTINÁPOLIS,16.59,12.03,33.66,62.21,67.01
CUMBE,16.69,19.51,20.63,42.16,53.87
DIVINA PASTORA,24.27,33.06,36.17,34.28,46.47
ESTÂNCIA,24.48,28.4,48.22,48.36,51.27
FEIRA NOVA,15.29,13.6,18.65,39.66,42.64
FREI PAULO,13.69,15.07,16.65,38.99,43.49
GARARU,27.14,18.62,28.13,37.8,59.99
GENERAL MAYNARD,27.12,32.77,40.55,32.75,47.98
GRACCHO CARDOSO,27.81,22.07,39.82,41.94,51.12
ILHA DAS FLORES,11.45,11.41,18.96,47.97,49.57
INDIAROBA,10.08,8.74,27.6,67.68,63.6
ITABAIANA,34.54,15.81,29.2,37.68,41.68
ITABAIANINHA,9.27,8.28,21.15,51.19,53.54
ITABI,31.33,18.41,25.45,39.52,44.7
ITAPORANGA D'AJUDA,17.42,22.84,28.17,33.31,39.75
JAPARATUBA,22.44,30.24,34.54,42.75,51.72
JAPOATÃ,17.06,12.42,29.67,40.21,51.83
LAGARTO,22.01,14.85,33.33,45.66,41.54
LARANJEIRAS,24.78,32.89,43.22,49.33,40.07
MACAMBIRA,10.66,8.1,17.29,44.83,49.55
MALHADA DOS BOIS,33.82,24.69,49.74,46.67,55.36
MALHADOR,14.18,15.25,21.54,45.1,41.57
MARUIM,30.28,37.95,38.37,38.69,47.57
MOITA BONITA,12.73,7.69,11.13,50.53,43.83
MONTE ALEGRE DE SERGIPE,15.58,9.13,15.33,46.12,50.61
MURIBECA,17.87,18.54,19.81,32.72,37.64
NEÓPOLIS,16.37,22.45,35.21,40.05,50.5
NOSSA SENHORA APARECIDA,11.85,7.21,14.1,49.6,54.91
NOSSA SENHORA DA GLÓRIA,27.28,17.93,36.6,38.07,51.58
NOSSA SENHORA DAS DORES,16.35,15.32,25,38.25,41.95
NOSSA SENHORA DE LOURDES,26.38,27.6,41.47,48.57,52.91
NOSSA SENHORA DO SOCORRO,28.81,34.77,40.64,33.07,31.08
PACATUBA,12.87,13,29.91,50.68,60.64
PEDRA MOLE,19.82,15.35,30.02,44.47,55
PEDRINHAS,17.9,12.67,25.94,57.56,53.17
PINH�ÃO,15.72,14.17,25.67,52.18,50.8
PIRAMBU,24.17,17.63,30.23,41.33,39.73
PO�ÇO REDONDO,18.43,15.14,32.04,46.87,52.06
PO�ÇO VERDE,16.34,12.8,27.17,54.12,52.36
PORTO DA FOLHA,25.75,21.8,36.16,38.45,50.95
PROPRIÁ,35.24,30.17,47.03,47.17,42.08
RIACHÃO DO DANTAS,13.97,8.32,27.04,55.92,63.35
RIACHUELO,29.9,37.76,45.01,37.86,48.85
RIBEIRÓPOLIS,24.46,13.93,21.09,45.97,44.92
ROSÁRIO DO CATETE,25.71,34.03,33.95,34.19,46.03
SALGADO,19.07,23.83,35.99,51.75,52.08
SANTA LUZIA DO ITANHY,13.93,12.84,27.5,49.19,49.62
SANTA ROSA DE LIMA,31.42,15.09,26.07,42.39,50.54
SANTANA DO SÃO FRANCISCO,7.99,14.2,17.81,53.63,51.48
SANTO AMARO DAS BROTAS,24.33,27.75,30.02,55.95,66.71
SÃO CRISTÓVÃO,29.64,33.64,44.59,38.3,37.63
SÃO DOMINGOS,13.81,10.84,28.83,39.72,46.98
SÃO FRANCISCO,13.8,15,19.41,33.87,52.85
SÃO MIGUEL DO ALEIXO,8.33,5.15,8.19,34.77,48.11
SIMÃO DIAS,25.93,23.93,32.47,59.62,47.66
SIRIRI,17.26,23.34,31.31,36.81,44.01
TELHA,25.03,19.54,43.65,44.87,47.23
TOBIAS BARRETO,14.04,12.07,26.28,67.35,60.97
TOMAR DO GERU,5.87,6.52,13.92,54.42,56.03
UMBAÚBA,9.99,11.04,24.19,58.34,45.93
